index,CODIGO,ENTIDAD,DIRECCION,COMUNA,HORARIO,LONGITUD,LATITUD,CATEGORIA,FUNCIONES
1490,123820,Elba Bravo Foster,Sofanor Parra 1360,CERRO NAVIA,No hay informacion disponible,-70.722519,-33.431053,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1491,123821,Almacen La Estrellita,Ricardo Grellet De Los Reyes 2120,PEÐALOLEN,No hay informacion disponible,-70.541206,-33.478458,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1492,123828,Teresa Jhoana Gonzalez Gonzales,La Estrella 1430,CERRO NAVIA,No hay informacion disponible,-70.750916,-33.428497,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1493,123829,Oxxo - La Castellana,Los Militares 5001,LAS CONDES,No hay informacion disponible,-70.577835,-33.409499,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1494,123857,Amansanderia Leyer,Everest 317,QUILICURA,No hay informacion disponible,-70.747803,-33.353096,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1495,123863,Green Life,Apoquindo 5140,LAS CONDES,No hay informacion disponible,-70.575174,-33.410984,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1496,123886,Oxxo - Plaza Egana 2,Irarrazaval 5612,ÐUÐOA,No hay informacion disponible,-70.572050,-33.453298,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1497,123911,Luchito,Poseidon 7367,PUDAHUEL,No hay informacion disponible,-70.743261,-33.461162,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1498,123918,Donde El Huaso,Obispo Javier Vasquez 6668,LO ESPEJO,No hay informacion disponible,-70.685763,-33.508051,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1499,123921,Gaviota,Lago Riðihue 6631,PEÐALOLEN,No hay informacion disponible,-70.566249,-33.480963,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1500,123930,Oxxo - Hamburgo 2,Tobalaba 5151,ÐUÐOA,No hay informacion disponible,-70.577485,-33.436805,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1501,123937,Oxxo - Alameda 1,Libertador Bernardo O Higgins 1881,SANTIAGO,No hay informacion disponible,-70.662427,-33.446148,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
1502,123940,Oxxo - Nuevas Las Condes 2,Av. Presidente Riesco 5561,LAS CONDES,No hay informacion disponible,-70.574135,-33.404727,Punto Bip!,"Carga de tarjeta, Consulta de saldo, Activacion de carga remota"
